fecha,inicio,ficha_producto,agregar_carrito,datos_personales,pagar,venta_confirmada,ingresos
2026-07-19,4180,2810,842,574,421,365,28764
2026-07-20,4360,2948,901,612,454,392,30968
2026-07-21,4525,3092,938,647,476,409,32720
2026-07-22,4470,3018,915,626,461,398,31562
2026-07-23,4680,3198,972,664,492,427,34245
2026-07-24,5050,3486,1076,742,552,481,39057
2026-07-25,5380,3722,1168,811,603,528,43296
2026-07-26,5220,3588,1109,768,567,492,40147
2026-07-27,4610,3156,965,668,493,429,34749
2026-07-28,4725,3254,1008,697,518,451,36531
2026-07-29,4890,3390,1052,731,541,471,38252
2026-07-30,4975,3467,1087,752,559,486,39522
2026-07-31,5150,3605,1141,795,592,516,42146
2026-08-01,5540,3902,1258,884,664,579,47612
2026-08-02,5410,3788,1217,851,636,553,45431
2026-08-03,4820,3371,1056,738,551,478,38974
2026-08-04,4935,3474,1102,770,577,501,40982
2026-08-05,5060,3589,1155,811,607,529,43404
2026-08-06,5190,3708,1199,846,635,554,45648
2026-08-07,5350,3842,1256,889,669,585,48321
2026-08-08,5760,4181,1394,991,748,655,54562
2026-08-09,5635,4076,1351,956,722,632,52683
2026-08-10,5015,3628,1164,823,620,541,44957
2026-08-11,5140,3744,1212,861,650,568,47428
2026-08-12,5275,3868,1263,900,681,596,49904
2026-08-13,5390,3975,1308,935,709,621,52270
2026-08-14,5575,4136,1374,987,751,659,55743
2026-08-15,6020,4510,1521,1098,838,736,62627
2026-08-16,5890,4392,1476,1061,806,707,60184
2026-08-17,5480,4108,1398,1012,771,678,58142
